tjobname;stage;COI-setup-start;COI-setup-end;tjob-setup-start;tjob-setup-end;tjob-testexec-start;tjob-testexec-end;tjob-teardown-start;tjob-teardown-end;coi-teardown-start;coi-teardown-end
tjoba;0;1777048848;1777048849;1777048849;1777048850;1777048850;1777048908;1777048916;1777048919;1777048848;1777048849
tjobb;0;1777048848;1777048849;1777048849;1777048850;1777048850;1777048914;1777048915;1777048918;1777048848;1777048849
tjobc;0;1777048848;1777048849;1777048849;1777048850;1777048850;1777048894;1777048900;1777048902;1777048848;1777048849
tjobd;0;1777048848;1777048849;1777048850;1777048850;1777048850;1777048897;1777048899;1777048902;1777048848;1777048849
tjobe;0;1777048848;1777048849;1777048850;1777048850;1777048850;1777048967;1777048972;1777048975;1777048848;1777048849
tjobf;1;1777048848;1777048849;1777048975;1777049002;1777049002;1777049030;1777049032;1777049035;1777048848;1777048849
tjobg;1;1777048848;1777048849;1777048975;1777049003;1777049003;1777049493;1777049494;1777049497;1777048848;1777048849
tjobh;1;1777048848;1777048849;1777048975;1777049003;1777049003;1777049051;1777049057;1777049060;1777048848;1777048849
tjobi;1;1777048848;1777048849;1777048975;1777049002;1777049003;1777049058;1777049066;1777049069;1777048848;1777048849
tjobj;2;1777048848;1777048849;1777049497;1777049518;1777049518;1777049552;1777049557;1777049560;1777048848;1777048849
